iter	Passed	Remaining
0	191	18955
1	234	1147522	302	9779
3	332	797344	362	6888
5	388	6081
6	414	5507
7	438	5038
8	467	472899	493	4443
10	518	4199111	543	3989112	566	3794113	589	3619114	613	3474115	637	3348116	663	3237117	689	3140118	719	3066
19	753	3013220	782	2945
21	809	2869
22	833	2789223	863	2733224	892	2677225	919	2616
26	943	2551
27	974	2505
28	1001	2451
29	1027	2397
30	1058	2355
31	1089	2314
32	1115	2264
33	1161	2255
34	1191	2212
35	1212	2155
36	1233	2100
37	1259	2055
38	1287	2014
39	1312	1940	40	1338	1941	41	1361	1842	42	1385	1843	43	1410	1744	44	1435	1745	45	1458	1746	46	1487	1647	47	1522	1649
48	1552	1616
49	1574	1574
50	1605	1542
51	1634	1508
52	1662	1474
53	1685	1436
54	1708	1398
55	1736	1364
56	1764	1330
57	1787	1294
58	1811	1258
59	1833	1222
60	1855	1186
61	1880	1152
62	1905	1118
63	1931	1086
64	1957	1054
65	1979	1019
66	2002	986
67	2025	952
68	2045	919
69	2064	884
70	2088	852
71	2107	819
72	2131	788
73	2155	757
74	2182	727
75	2208	697
76	2229	666
77	2269	640
78	2313	615
79	2335	583
80	2359	553
81	2380	522
82	2398	491
83	2419	460
84	2439	430
85	2459	400
86	2478	370
87	2501	341
88	2527	312
89	2550	283
90	2572	254
91	2598	225
92	2625	197
93	2647	168
94	2666	140
95	2687	111
96	2704	83
97	2720	55
98	2737	27
99	2761	0
